City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
15,Andenes,NO,40.98,overcast clouds,69.3143,16.1194,Hotell Marena
20,Ushuaia,AR,44.49,broken clouds,-54.8,-68.3,Albatross Hotel
21,Busselton,AU,55.27,few clouds,-33.65,115.3333,Observatory Guest House
22,Punta Arenas,CL,48.11,scattered clouds,-53.15,-70.9167,Hotel Hain
23,Sistranda,NO,42.76,overcast clouds,63.7256,8.834,Hotell Frøya
31,Gander,CA,53.71,clear sky,48.9682,-54.5906,Quality Hotel & Suites
36,Lebu,CL,58.91,clear sky,-37.6167,-73.65,Hostal Las Lilas
37,Olafsvik,IS,43.77,moderate rain,64.8945,-23.7142,Hotel Olafsvik
39,Klaksvik,FO,49.12,overcast clouds,62.2266,-6.589,Airbnb rooms
42,Primorsk,UA,47.21,overcast clouds,46.7348,36.3443,Relax
47,Jamestown,US,49.51,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
53,Hermanus,ZA,58.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
54,Shache,CN,59.68,clear sky,38.4167,77.2406,Delong Hotel
56,Shihezi,CN,51.82,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
62,Talcahuano,CL,58.68,clear sky,-36.7167,-73.1167,departamento comodo
64,Katsuura,JP,53.26,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
65,Eregli,TR,56.84,scattered clouds,37.5133,34.0467,Hotel Fuat Bey
70,Roald,NO,47.34,overcast clouds,62.5833,6.1333,Flem Cabins
79,Bredasdorp,ZA,59.65,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
94,Hobart,AU,57.25,light rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
96,Brae,GB,45.21,overcast clouds,60.3964,-1.353,Busta House Hotel
107,Sitka,US,42.69,scattered clouds,57.0531,-135.33,Westmark Sitka
113,North Bend,US,51.85,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
116,Kaitangata,NZ,41.4,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
117,Vanderhoof,CA,40.23,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
128,Raudeberg,NO,45.86,overcast clouds,61.9875,5.1352,Nordre Silda.
129,Dunedin,NZ,49.8,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
130,Ortakoy,TR,46.65,overcast clouds,38.7373,34.0387,Berilhan Hotel
