City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chapais,CA,49.7834,-74.8492,35.38,70,100,11.77,overcast clouds
1,Ponta Delgada,PT,37.7333,-25.6667,63.32,82,20,12.66,few clouds
2,Hithadhoo,MV,-0.6,73.0833,83.17,67,78,6.29,broken clouds
3,Chuy,UY,-33.6971,-53.4616,66.43,58,77,8.12,broken clouds
4,Port Lincoln,AU,-34.7333,135.8667,65.32,85,100,12.01,overcast clouds
5,The Valley,AI,18.217,-63.0578,81.82,69,40,20.71,scattered clouds
6,Bengkulu,ID,-3.8004,102.2655,76.93,90,100,3.91,overcast clouds
7,Saint George,US,37.1041,-113.5841,79.63,14,0,35.68,haze
8,Natal,BR,-5.795,-35.2094,86.65,70,40,13.8,scattered clouds
9,Bluff,NZ,-46.6,168.3333,38.8,80,96,7.78,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,38.48,96,68,2.73,broken clouds
11,Lasa,IT,46.6166,10.7002,37.38,93,30,7.43,scattered clouds
12,Upernavik,GL,72.7868,-56.1549,-5.33,89,30,13.89,scattered clouds
13,Ho Chi Minh City,VN,10.75,106.6667,78.82,94,75,4.61,broken clouds
14,Tezu,IN,27.9167,96.1667,65.64,95,100,5.28,overcast clouds
15,Andenes,NO,69.3143,16.1194,40.98,93,100,12.66,overcast clouds
16,Trairi,BR,-3.2778,-39.2689,80.28,82,100,6.08,overcast clouds
17,Kapaa,US,22.0752,-159.319,78.78,90,100,17.27,light rain
18,Sompeta,IN,18.9333,84.6,80.11,73,74,12.5,broken clouds
19,Manaure,CO,11.7751,-72.4445,89.6,53,6,13.27,clear sky
20,Ushuaia,AR,-54.8,-68.3,44.49,61,65,1.36,broken clouds
21,Busselton,AU,-33.65,115.3333,55.27,84,21,9.91,few clouds
22,Punta Arenas,CL,-53.15,-70.9167,48.11,76,40,11.5,scattered clouds
23,Sistranda,NO,63.7256,8.834,42.76,86,99,7.09,overcast clouds
24,Tasiilaq,GL,65.6145,-37.6368,35.76,97,100,16.64,light rain
25,Rikitea,PF,-23.1203,-134.9692,78.1,71,4,15.52,clear sky
26,Port Alfred,ZA,-33.5906,26.891,61.18,83,100,12.86,overcast clouds
27,Luang Prabang,LA,19.8856,102.1347,75.4,68,9,1.41,clear sky
28,Longyearbyen,SJ,78.2186,15.6401,16.03,91,90,5.73,overcast clouds
29,Haines Junction,CA,60.7522,-137.5108,30.52,71,100,0.78,overcast clouds
30,Grand Gaube,MU,-20.0064,57.6608,77.38,83,15,5.99,few clouds
31,Gander,CA,48.9682,-54.5906,53.71,60,6,12.91,clear sky
32,Namatanai,PG,-3.6667,152.4333,78.91,82,97,3.51,overcast clouds
33,Vaini,TO,-21.2,-175.2,82.56,78,40,5.75,scattered clouds
34,Carnarvon,AU,-24.8667,113.6333,75.27,73,31,12.66,scattered clouds
35,Provideniya,RU,64.3833,-173.3,31.53,92,100,14.72,light snow
36,Lebu,CL,-37.6167,-73.65,58.91,73,8,14.81,clear sky
37,Olafsvik,IS,64.8945,-23.7142,43.77,97,100,10.69,moderate rain
38,College,US,64.8569,-147.8028,31.95,40,20,9.22,few clouds
39,Klaksvik,FO,62.2266,-6.589,49.12,90,100,22.26,overcast clouds
40,Atuona,PF,-9.8,-139.0333,79.45,76,29,17.36,scattered clouds
41,Nikolskoye,RU,59.7035,30.7861,36.72,82,73,3.04,broken clouds
42,Primorsk,UA,46.7348,36.3443,47.21,84,100,6.49,overcast clouds
43,Bulgan,MN,48.8125,103.5347,35.04,56,15,3.96,few clouds
44,Pak Phanang,TH,8.3511,100.202,82.15,80,97,4.25,overcast clouds
45,Tabuk,PH,17.4189,121.4443,72.45,89,99,4.21,overcast clouds
46,Nkowakowa,ZA,-23.8878,30.2871,62.83,88,100,6.15,overcast clouds
47,Jamestown,US,42.097,-79.2353,49.51,45,0,14.97,clear sky
48,Cape Town,ZA,-33.9258,18.4232,61.11,67,0,15.01,clear sky
49,Charters Towers,AU,-20.1,146.2667,65.75,86,58,7.76,broken clouds
50,Riverton,US,40.5219,-111.9391,66.11,34,100,17.27,overcast clouds
51,Geraldton,AU,-28.7667,114.6,66.61,77,100,11.5,overcast clouds
52,Barrow,US,71.2906,-156.7887,3.22,78,0,19.57,clear sky
53,Hermanus,ZA,-34.4187,19.2345,58.8,74,2,18.84,clear sky
54,Shache,CN,38.4167,77.2406,59.68,18,3,9.89,clear sky
